participantId,device,datasetId,slotId,isTrue,answerId
16,VR,1,1,True,4
16,VR,1,2,True,2
16,VR,1,3,False,2
16,VR,1,4,True,6
16,VR,1,5,True,5
16,VR,1,6,True,7
16,VR,1,7,True,3
16,VR,2,1,True,4
16,VR,2,2,True,6
16,VR,2,3,False,3
16,VR,2,4,False,7
16,VR,2,5,False,6
16,VR,2,6,True,1
16,VR,2,7,True,3
13,VR,2,1,False,4
13,VR,2,2,True,4
13,VR,2,3,False,2
13,VR,2,4,False,7
13,VR,2,5,True,5
13,VR,2,6,True,6
13,VR,2,7,False,1
13,VR,1,1,False,3
13,VR,1,2,True,1
13,VR,1,3,True,2
13,VR,1,4,True,7
13,VR,1,5,False,2
13,VR,1,6,True,6
13,VR,1,7,True,3
13,Comp,1,1,False,3
13,Comp,1,2,False,2
13,Comp,1,3,False,1
13,Comp,1,4,False,7
13,Comp,1,5,True,1
13,Comp,1,6,True,2
13,Comp,1,7,True,5
10,VR,1,1,True,6
10,VR,1,2,False,3
10,VR,1,3,False,4
10,VR,1,4,False,5
10,VR,1,5,False,6
10,VR,1,6,False,2
10,VR,1,7,False,1
10,VR,2,1,False,7
10,VR,2,2,True,4
10,VR,2,3,True,6
10,VR,2,4,True,2
10,VR,2,5,False,5
10,VR,2,6,False,6
10,VR,2,7,True,5
10,Comp,2,1,True,1
10,Comp,2,2,False,1
10,Comp,2,3,False,7
10,Comp,2,4,True,6
10,Comp,2,5,True,2
10,Comp,2,6,False,2
10,Comp,2,7,False,3
7,VR,1,1,False,5
7,VR,1,2,False,4
7,VR,1,3,True,4
7,VR,1,4,True,3
7,VR,1,5,False,2
7,VR,1,6,False,3
7,VR,1,7,True,1
7,VR,2,1,False,7
7,VR,2,2,True,1
7,VR,2,3,False,5
7,VR,2,4,False,3
7,VR,2,5,True,6
7,VR,2,6,True,4
7,VR,2,7,False,1
7,Comp,2,1,False,2
7,Comp,2,2,True,2
7,Comp,2,3,True,4
7,Comp,2,4,True,1
7,Comp,2,5,False,4
7,Comp,2,6,False,3
7,Comp,2,7,True,6
7,Comp,1,1,False,1
7,Comp,1,2,True,2
7,Comp,1,3,True,5
7,Comp,1,4,True,3
7,Comp,1,5,False,7
7,Comp,1,6,True,7
7,Comp,1,7,True,4
12,VR,1,1,False,4
12,VR,1,2,False,5
12,VR,1,3,True,3
12,VR,1,4,True,2
12,VR,1,5,True,4
12,VR,1,6,True,1
12,VR,1,7,True,6
12,VR,2,1,False,2
12,VR,2,2,True,5
12,VR,2,3,False,6
12,VR,2,4,True,7
12,VR,2,5,False,3
12,VR,2,6,False,1
12,VR,2,7,False,4
12,Comp,2,1,False,1
12,Comp,2,2,True,7
12,Comp,2,3,True,4
12,Comp,2,4,False,6
12,Comp,2,5,False,2
12,Comp,2,6,False,3
12,Comp,2,7,True,1
12,Comp,1,1,False,3
12,Comp,1,2,True,4
12,Comp,1,3,True,2
12,Comp,1,4,True,7
12,Comp,1,5,True,3
12,Comp,1,6,False,5
12,Comp,1,7,False,4
8,Comp,2,1,False,1
8,Comp,2,2,True,4
8,Comp,2,3,True,5
8,Comp,2,4,True,3
8,Comp,2,5,True,7
8,Comp,2,6,False,3
8,Comp,2,7,False,2
8,Comp,1,1,True,1
8,Comp,1,2,False,3
8,Comp,1,3,False,2
8,Comp,1,4,True,6
8,Comp,1,5,False,4
8,Comp,1,6,False,5
8,Comp,1,7,True,4
8,VR,1,1,False,4
8,VR,1,2,True,6
8,VR,1,3,True,1
8,VR,1,4,True,4
8,VR,1,5,False,1
8,VR,1,6,False,6
8,VR,1,7,True,7
8,VR,2,1,False,4
8,VR,2,2,False,2
8,VR,2,3,True,6
